teacher,turma,turma_display,nivel,horario,student_name,participacao,comportamento,speaking,listening,foco,writing,reading,gramatica,trabalho_equipe,organizacao,pontualidade,respeito_regras,faltas,missed_aulas,aula_extra,feedback_participacao,feedback_foco,feedback_trabalho_equipe,recomendacoes,observacao
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 01,4,5,4,4,4,4,4,4,5,5,5,5,0,,,,,,,
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 02,4,4,2,2,4,2,2,2,4,4,4,4,0,,,,,,,
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 03,4,5,3,4,4,3,3,3,5,5,5,5,2,,Reforco,,,,,
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 04,4,5,5,5,4,5,5,5,5,5,5,5,3,,,,,,,
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 05,5,4,4,3,4,4,4,4,4,4,4,4,1,,,,,,,
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 06,4,4,4,4,3,4,4,4,4,4,4,4,0,,,,,,,
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 07,4,4,3,3,4,3,3,3,4,4,4,4,0,,,,,,,
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 08,5,3,5,4,3,5,4,4,3,3,3,3,0,,,,,,,
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 09,2,5,1,1,3,1,1,1,5,5,5,5,2,,Reforco,,,,,Anonymized sample note for local report generation.
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 10,3,5,2,2,2,1,1,2,5,5,5,5,3,,Reforco,,,,,Anonymized sample note for local report generation.
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 11,3,5,3,3,1,2,3,3,5,5,5,5,1,,Reforco,,,,,Anonymized sample note for local report generation.
Teacher A,COMET,Comet,Kids 2,"Monday and Wednesday, 08:00-09:30",Sample Student 12,3,3,5,4,2,5,5,5,3,3,3,3,3,,,,,,,
